,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
208,2,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
209,3,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
214,8,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.7,INTERIOR
215,9,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.7,INTERIOR
217,11,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,INTERIOR
218,12,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,INTERIOR
219,13,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,INTERIOR
221,15,ASSIS,SÃO PAULO,DIESEL S10,NACIONAL,6.9990000000000006,INTERIOR
225,2,AMPARO,SÃO PAULO,DIESEL S10,NACIONAL,6.55,INTERIOR
227,4,AMPARO,SÃO PAULO,DIESEL S10,NACIONAL,6.55,INTERIOR
229,6,AMPARO,SÃO PAULO,DIESEL S10,NACIONAL,6.59,INTERIOR
236,7,MOCOCA,SÃO PAULO,DIESEL S10,NACIONAL,6.899000000000001,INTERIOR
238,9,MOCOCA,SÃO PAULO,DIESEL S10,NACIONAL,6.9990000000000006,INTERIOR
241,2,ADAMANTINA,SÃO PAULO,DIESEL S10,NACIONAL,6.79,INTERIOR
244,3,ITAPOLIS,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,INTERIOR
246,5,ITAPOLIS,SÃO PAULO,DIESEL S10,NACIONAL,6.849000000000001,INTERIOR
249,2,ITAPIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
255,3,HORTOLANDIA,SÃO PAULO,DIESEL S10,NACIONAL,6.299000000000001,INTERIOR
258,6,HORTOLANDIA,SÃO PAULO,DIESEL S10,NACIONAL,6.39,INTERIOR
261,9,HORTOLANDIA,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
263,11,HORTOLANDIA,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,INTERIOR
265,2,AMERICANA,SÃO PAULO,DIESEL S10,NACIONAL,6.549000000000001,INTERIOR
268,5,AMERICANA,SÃO PAULO,DIESEL S10,NACIONAL,6.59,INTERIOR
269,6,AMERICANA,SÃO PAULO,DIESEL S10,NACIONAL,6.59,INTERIOR
270,7,AMERICANA,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
273,10,AMERICANA,SÃO PAULO,DIESEL S10,NACIONAL,6.69,INTERIOR
276,3,DRACENA,SÃO PAULO,DIESEL S10,NACIONAL,6.69,INTERIOR
286,7,MATAO,SÃO PAULO,DIESEL S10,NACIONAL,6.79,INTERIOR
287,8,MATAO,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,INTERIOR
291,2,BAURU,SÃO PAULO,DIESEL S10,NACIONAL,6.45,INTERIOR
292,3,BAURU,SÃO PAULO,DIESEL S10,NACIONAL,6.479000000000001,INTERIOR
293,4,BAURU,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
305,16,BAURU,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,INTERIOR
308,3,MOGI GUACU,SÃO PAULO,DIESEL S10,NACIONAL,6.79,INTERIOR
310,5,MOGI GUACU,SÃO PAULO,DIESEL S10,NACIONAL,6.9990000000000006,INTERIOR
316,6,DIADEMA,SÃO PAULO,DIESEL S10,NACIONAL,6.29,INTERIOR
