POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
4,IBITINGA,SÃO PAULO,DIESEL,OUTRO,6.69,INTERIOR
5,IBITINGA,SÃO PAULO,DIESEL,OUTRO,6.99,INTERIOR
1,CRUZEIRO,SÃO PAULO,DIESEL,NACIONAL,6.53,INTERIOR
2,CRUZEIRO,SÃO PAULO,DIESEL,NACIONAL,6.54,INTERIOR
3,CRUZEIRO,SÃO PAULO,DIESEL,OUTRO,6.65,INTERIOR
1,CARAGUATATUBA,SÃO PAULO,DIESEL,NACIONAL,6.594000000000001,INTERIOR
2,CARAGUATATUBA,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
3,CARAGUATATUBA,SÃO PAULO,DIESEL,NACIONAL,6.699000000000001,INTERIOR
4,CARAGUATATUBA,SÃO PAULO,DIESEL,NACIONAL,6.799000000000001,INTERIOR
1,MARILIA,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
2,MARILIA,SÃO PAULO,DIESEL,NACIONAL,6.559000000000001,INTERIOR
3,MARILIA,SÃO PAULO,DIESEL,NACIONAL,6.649000000000001,INTERIOR
4,MARILIA,SÃO PAULO,DIESEL,NACIONAL,6.759000000000001,INTERIOR
5,MARILIA,SÃO PAULO,DIESEL,OUTRO,6.829000000000001,INTERIOR
1,CACAPAVA,SÃO PAULO,DIESEL,OUTRO,5.99,INTERIOR
2,CACAPAVA,SÃO PAULO,DIESEL,NACIONAL,6.19,INTERIOR
3,CACAPAVA,SÃO PAULO,DIESEL,OUTRO,6.2,INTERIOR
4,CACAPAVA,SÃO PAULO,DIESEL,NACIONAL,6.78,INTERIOR
1,ITAQUAQUECETUBA,SÃO PAULO,DIESEL,OUTRO,6.099,METRÓPOLE
2,ITAQUAQUECETUBA,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,METRÓPOLE
3,ITAQUAQUECETUBA,SÃO PAULO,DIESEL,NACIONAL,6.579000000000001,METRÓPOLE
1,ARARAS,SÃO PAULO,DIESEL,OUTRO,5.999,INTERIOR
2,ARARAS,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
3,ARARAS,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
4,ARARAS,SÃO PAULO,DIESEL,NACIONAL,6.299000000000001,INTERIOR
5,ARARAS,SÃO PAULO,DIESEL,OUTRO,6.4590000000000005,INTERIOR
6,ARARAS,SÃO PAULO,DIESEL,OUTRO,6.4590000000000005,INTERIOR
7,ARARAS,SÃO PAULO,DIESEL,OUTRO,6.5760000000000005,INTERIOR
1,MOGI DAS CRUZES,SÃO PAULO,DIESEL,NACIONAL,6.279000000000001,METRÓPOLE
2,MOGI DAS CRUZES,SÃO PAULO,DIESEL,NACIONAL,6.549000000000001,METRÓPOLE
