POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
9,BARRETOS,SÃO PAULO,DIESEL S10,OUTRO,6.99,INTERIOR
10,BARRETOS,SÃO PAULO,DIESEL S10,OUTRO,6.99,INTERIOR
11,BARRETOS,SÃO PAULO,DIESEL S10,OUTRO,6.99,INTERIOR
12,BARRETOS,SÃO PAULO,DIESEL S10,NACIONAL,7.15,INTERIOR
13,BARRETOS,SÃO PAULO,DIESEL S10,OUTRO,7.199000000000001,INTERIOR
14,BARRETOS,SÃO PAULO,DIESEL S10,NACIONAL,7.199000000000001,INTERIOR
15,BARRETOS,SÃO PAULO,DIESEL S10,NACIONAL,7.299000000000001,INTERIOR
1,LIMEIRA,SÃO PAULO,DIESEL S10,OUTRO,6.299000000000001,INTERIOR
2,LIMEIRA,SÃO PAULO,DIESEL S10,OUTRO,6.299000000000001,INTERIOR
3,LIMEIRA,SÃO PAULO,DIESEL S10,OUTRO,6.299000000000001,INTERIOR
4,LIMEIRA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
5,LIMEIRA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
6,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.49,INTERIOR
7,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.49,INTERIOR
8,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.49,INTERIOR
9,LIMEIRA,SÃO PAULO,DIESEL S10,OUTRO,6.498000000000001,INTERIOR
10,LIMEIRA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
11,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
12,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
13,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
14,LIMEIRA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
15,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
16,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.598000000000001,INTERIOR
17,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
18,LIMEIRA,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
19,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,7.19,INTERIOR
1,ITAPETININGA,SÃO PAULO,DIESEL S10,OUTRO,6.239000000000001,INTERIOR
