,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
282,3,MATAO,SÃO PAULO,DIESEL S10,OUTRO,6.48,INTERIOR
283,4,MATAO,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
284,5,MATAO,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
285,6,MATAO,SÃO PAULO,DIESEL S10,OUTRO,6.79,INTERIOR
288,9,MATAO,SÃO PAULO,DIESEL S10,OUTRO,6.9,INTERIOR
289,10,MATAO,SÃO PAULO,DIESEL S10,OUTRO,6.9,INTERIOR
290,1,BAURU,SÃO PAULO,DIESEL S10,OUTRO,6.29,INTERIOR
294,5,BAURU,SÃO PAULO,DIESEL S10,OUTRO,6.589000000000001,INTERIOR
295,6,BAURU,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
296,7,BAURU,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
297,8,BAURU,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
298,9,BAURU,SÃO PAULO,DIESEL S10,OUTRO,6.69,INTERIOR
299,10,BAURU,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
300,11,BAURU,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
301,12,BAURU,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
302,13,BAURU,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
303,14,BAURU,SÃO PAULO,DIESEL S10,OUTRO,6.75,INTERIOR
304,15,BAURU,SÃO PAULO,DIESEL S10,OUTRO,6.75,INTERIOR
306,1,MOGI GUACU,SÃO PAULO,DIESEL S10,OUTRO,6.69,INTERIOR
307,2,MOGI GUACU,SÃO PAULO,DIESEL S10,OUTRO,6.69,INTERIOR
309,4,MOGI GUACU,SÃO PAULO,DIESEL S10,OUTRO,6.99,INTERIOR
311,1,DIADEMA,SÃO PAULO,DIESEL S10,OUTRO,6.17,INTERIOR
312,2,DIADEMA,SÃO PAULO,DIESEL S10,OUTRO,6.19,INTERIOR
313,3,DIADEMA,SÃO PAULO,DIESEL S10,OUTRO,6.199000000000001,INTERIOR
314,4,DIADEMA,SÃO PAULO,DIESEL S10,OUTRO,6.25,INTERIOR
315,5,DIADEMA,SÃO PAULO,DIESEL S10,OUTRO,6.279000000000001,INTERIOR
317,7,DIADEMA,SÃO PAULO,DIESEL S10,OUTRO,6.299000000000001,INTERIOR
318,8,DIADEMA,SÃO PAULO,DIESEL S10,OUTRO,6.54,INTERIOR
319,9,DIADEMA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
320,10,DIADEMA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
322,12,DIADEMA,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
323,13,DIADEMA,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
325,1,AVARE,SÃO PAULO,DIESEL S10,OUTRO,6.6,INTERIOR
326,2,AVARE,SÃO PAULO,DIESEL S10,OUTRO,6.659000000000001,INTERIOR
328,4,AVARE,SÃO PAULO,DIESEL S10,OUTRO,6.77,INTERIOR
