,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
137,3,MOCOCA,SÃO PAULO,DIESEL,OUTRO,6.269000000000001,INTERIOR
138,4,MOCOCA,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
139,5,MOCOCA,SÃO PAULO,DIESEL,OUTRO,6.599000000000001,INTERIOR
141,7,MOCOCA,SÃO PAULO,DIESEL,OUTRO,6.729000000000001,INTERIOR
144,1,ITAPOLIS,SÃO PAULO,DIESEL,OUTRO,6.65,INTERIOR
145,2,ITAPOLIS,SÃO PAULO,DIESEL,OUTRO,6.65,INTERIOR
146,3,ITAPOLIS,SÃO PAULO,DIESEL,OUTRO,6.68,INTERIOR
148,5,ITAPOLIS,SÃO PAULO,DIESEL,OUTRO,6.79,INTERIOR
149,6,ITAPOLIS,SÃO PAULO,DIESEL,OUTRO,6.79,INTERIOR
150,7,ITAPOLIS,SÃO PAULO,DIESEL,OUTRO,6.79,INTERIOR
152,2,ITAPIRA,SÃO PAULO,DIESEL,OUTRO,6.64,INTERIOR
153,3,ITAPIRA,SÃO PAULO,DIESEL,OUTRO,6.67,INTERIOR
154,1,HORTOLANDIA,SÃO PAULO,DIESEL,OUTRO,6.099,INTERIOR
156,3,HORTOLANDIA,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
157,4,HORTOLANDIA,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
158,5,HORTOLANDIA,SÃO PAULO,DIESEL,OUTRO,6.199000000000001,INTERIOR
159,6,HORTOLANDIA,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
161,1,AMERICANA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
164,1,DRACENA,SÃO PAULO,DIESEL,OUTRO,6.49,INTERIOR
165,2,DRACENA,SÃO PAULO,DIESEL,OUTRO,6.55,INTERIOR
167,4,DRACENA,SÃO PAULO,DIESEL,OUTRO,6.59,INTERIOR
168,1,MATAO,SÃO PAULO,DIESEL,OUTRO,6.29,INTERIOR
169,2,MATAO,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
170,3,MATAO,SÃO PAULO,DIESEL,OUTRO,6.4,INTERIOR
171,4,MATAO,SÃO PAULO,DIESEL,OUTRO,6.69,INTERIOR
172,5,MATAO,SÃO PAULO,DIESEL,OUTRO,6.75,INTERIOR
