,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
129,2,AMPARO,SÃO PAULO,DIESEL,OUTRO,6.45,INTERIOR
130,3,AMPARO,SÃO PAULO,DIESEL,NACIONAL,6.45,INTERIOR
131,4,AMPARO,SÃO PAULO,DIESEL,OUTRO,6.45,INTERIOR
132,5,AMPARO,SÃO PAULO,DIESEL,OUTRO,6.45,INTERIOR
133,6,AMPARO,SÃO PAULO,DIESEL,NACIONAL,6.45,INTERIOR
134,7,AMPARO,SÃO PAULO,DIESEL,NACIONAL,6.54,INTERIOR
135,1,MOCOCA,SÃO PAULO,DIESEL,OUTRO,6.269000000000001,INTERIOR
136,2,MOCOCA,SÃO PAULO,DIESEL,OUTRO,6.269000000000001,INTERIOR
137,3,MOCOCA,SÃO PAULO,DIESEL,OUTRO,6.269000000000001,INTERIOR
138,4,MOCOCA,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
139,5,MOCOCA,SÃO PAULO,DIESEL,OUTRO,6.599000000000001,INTERIOR
140,6,MOCOCA,SÃO PAULO,DIESEL,NACIONAL,6.649000000000001,INTERIOR
141,7,MOCOCA,SÃO PAULO,DIESEL,OUTRO,6.729000000000001,INTERIOR
142,8,MOCOCA,SÃO PAULO,DIESEL,NACIONAL,6.759000000000001,INTERIOR
143,1,ADAMANTINA,SÃO PAULO,DIESEL,NACIONAL,6.99,INTERIOR
144,1,ITAPOLIS,SÃO PAULO,DIESEL,OUTRO,6.65,INTERIOR
145,2,ITAPOLIS,SÃO PAULO,DIESEL,OUTRO,6.65,INTERIOR
146,3,ITAPOLIS,SÃO PAULO,DIESEL,OUTRO,6.68,INTERIOR
147,4,ITAPOLIS,SÃO PAULO,DIESEL,NACIONAL,6.69,INTERIOR
148,5,ITAPOLIS,SÃO PAULO,DIESEL,OUTRO,6.79,INTERIOR
