Posto,Município,Estado,Combustível,BANDEIRA,PREÇO VENDA
6,GARCA,São Paulo,DIESEL S10,BRANCA,6899
1,ITU,São Paulo,DIESEL S10,IPIRANGA,6280
2,ITU,São Paulo,DIESEL S10,BRANCA,6299
3,ITU,São Paulo,DIESEL S10,VIBRA ENERGIA,6390
4,ITU,São Paulo,DIESEL S10,BRANCA,6390
5,ITU,São Paulo,DIESEL S10,IPIRANGA,6399
6,ITU,São Paulo,DIESEL S10,BRANCA,6439
7,ITU,São Paulo,DIESEL S10,RAIZEN,6490
8,ITU,São Paulo,DIESEL S10,RAIZEN,6490
9,ITU,São Paulo,DIESEL S10,IPIRANGA,6499
10,ITU,São Paulo,DIESEL S10,RAIZEN,6599
11,ITU,São Paulo,DIESEL S10,BRANCA,6599
12,ITU,São Paulo,DIESEL S10,RAIZEN,6640
1,GUARUJA,São Paulo,DIESEL S10,BRANCA,6439
2,GUARUJA,São Paulo,DIESEL S10,IPIRANGA,6580
3,GUARUJA,São Paulo,DIESEL S10,BRANCA,6799
4,GUARUJA,São Paulo,DIESEL S10,IPIRANGA,6799
5,GUARUJA,São Paulo,DIESEL S10,BRANCA,6799
6,GUARUJA,São Paulo,DIESEL S10,BRANCA,6799
7,GUARUJA,São Paulo,DIESEL S10,IPIRANGA,6868
8,GUARUJA,São Paulo,DIESEL S10,RAIZEN,6868
9,GUARUJA,São Paulo,DIESEL S10,VIBRA ENERGIA,6999
10,GUARUJA,São Paulo,DIESEL S10,VIBRA ENERGIA,7299
1,BEBEDOURO,São Paulo,DIESEL S10,BRANCA,6490
2,BEBEDOURO,São Paulo,DIESEL S10,BRANCA,6490
3,BEBEDOURO,São Paulo,DIESEL S10,BRANCA,6540
4,BEBEDOURO,São Paulo,DIESEL S10,BRANCA,6550
5,BEBEDOURO,São Paulo,DIESEL S10,IPIRANGA,6590
6,BEBEDOURO,São Paulo,DIESEL S10,VIBRA ENERGIA,6650
7,BEBEDOURO,São Paulo,DIESEL S10,RAIZEN,6750
1,LEME,São Paulo,DIESEL S10,BRANCA,6190
2,LEME,São Paulo,DIESEL S10,BRANCA,6298
3,LEME,São Paulo,DIESEL S10,BRANCA,6298
4,LEME,São Paulo,DIESEL S10,BRANCA,6390
5,LEME,São Paulo,DIESEL S10,VIBRA ENERGIA,6398
6,LEME,São Paulo,DIESEL S10,BRANCA,6490
7,LEME,São Paulo,DIESEL S10,VIBRA ENERGIA,6578
8,LEME,São Paulo,DIESEL S10,BRANCA,6580
9,LEME,São Paulo,DIESEL S10,BRANCA,6599
10,LEME,São Paulo,DIESEL S10,IPIRANGA,6600
11,LEME,São Paulo,DIESEL S10,BRANCA,6699
12,LEME,São Paulo,DIESEL S10,IPIRANGA,6699
13,LEME,São Paulo,DIESEL S10,BRANCA,6790
1,GUARULHOS,São Paulo,DIESEL S10,BRANCA,6210
2,GUARULHOS,São Paulo,DIESEL S10,BRANCA,6249
3,GUARULHOS,São Paulo,DIESEL S10,BRANCA,6299
4,GUARULHOS,São Paulo,DIESEL S10,BRANCA,6399
5,GUARULHOS,São Paulo,DIESEL S10,IPIRANGA,6399
6,GUARULHOS,São Paulo,DIESEL S10,RAIZEN,6399
7,GUARULHOS,São Paulo,DIESEL S10,BRANCA,6399
8,GUARULHOS,São Paulo,DIESEL S10,BRANCA,6399
9,GUARULHOS,São Paulo,DIESEL S10,IPIRANGA,6399
10,GUARULHOS,São Paulo,DIESEL S10,RAIZEN,6499
11,GUARULHOS,São Paulo,DIESEL S10,RAIZEN,6499
12,GUARULHOS,São Paulo,DIESEL S10,IPIRANGA,6579
13,GUARULHOS,São Paulo,DIESEL S10,RAIZEN,6599
14,GUARULHOS,São Paulo,DIESEL S10,ALESAT,6599
15,GUARULHOS,São Paulo,DIESEL S10,BRANCA,6599
16,GUARULHOS,São Paulo,DIESEL S10,BRANCA,6699
17,GUARULHOS,São Paulo,DIESEL S10,BRANCA,6699
18,GUARULHOS,São Paulo,DIESEL S10,IPIRANGA,6749
19,GUARULHOS,São Paulo,DIESEL S10,IPIRANGA,6749
20,GUARULHOS,São Paulo,DIESEL S10,IPIRANGA,6999
1,BIRIGUI,São Paulo,DIESEL S10,BRANCA,6490
2,BIRIGUI,São Paulo,DIESEL S10,BRANCA,6499
3,BIRIGUI,São Paulo,DIESEL S10,IPIRANGA,6500
4,BIRIGUI,São Paulo,DIESEL S10,IPIRANGA,6690
5,BIRIGUI,São Paulo,DIESEL S10,RAIZEN,6700
6,BIRIGUI,São Paulo,DIESEL S10,BRANCA,6750
7,BIRIGUI,São Paulo,DIESEL S10,IPIRANGA,6990
8,BIRIGUI,São Paulo,DIESEL S10,BRANCA,6999
