Posto,Município,Estado,Combustível,BANDEIRA,PREÇO VENDA
10,JOSE BONIFACIO,São Paulo,DIESEL,BRANCA,"6,8"
1,BOTUCATU,São Paulo,DIESEL,IPIRANGA,"6,349"
2,BOTUCATU,São Paulo,DIESEL,BRANCA,"6,379"
3,BOTUCATU,São Paulo,DIESEL,VIBRA ENERGIA,"6,399"
4,BOTUCATU,São Paulo,DIESEL,RAIZEN,"6,45"
1,CAMPINAS,São Paulo,DIESEL,BRANCA,"5,949"
2,CAMPINAS,São Paulo,DIESEL,RAIZEN,"5,999"
3,CAMPINAS,São Paulo,DIESEL,RAIZEN,"6,097"
4,CAMPINAS,São Paulo,DIESEL,RAIZEN,"6,199"
5,CAMPINAS,São Paulo,DIESEL,IPIRANGA,"6,199"
6,CAMPINAS,São Paulo,DIESEL,VIBRA ENERGIA,"6,199"
7,CAMPINAS,São Paulo,DIESEL,BRANCA,"6,199"
8,CAMPINAS,São Paulo,DIESEL,RAIZEN,"6,25"
9,CAMPINAS,São Paulo,DIESEL,RAIZEN,"6,279"
10,CAMPINAS,São Paulo,DIESEL,IPIRANGA,"6,299"
11,CAMPINAS,São Paulo,DIESEL,RAIZEN,"6,299"
12,CAMPINAS,São Paulo,DIESEL,RAIZEN,"6,299"
13,CAMPINAS,São Paulo,DIESEL,VIBRA ENERGIA,"6,357"
14,CAMPINAS,São Paulo,DIESEL,BRANCA,"6,399"
15,CAMPINAS,São Paulo,DIESEL,RAIZEN,"6,399"
16,CAMPINAS,São Paulo,DIESEL,RAIZEN,"6,459"
17,CAMPINAS,São Paulo,DIESEL,RAIZEN,"6,559"
18,CAMPINAS,São Paulo,DIESEL,VIBRA ENERGIA,"6,599"
19,CAMPINAS,São Paulo,DIESEL,IPIRANGA,"6,87"
20,CAMPINAS,São Paulo,DIESEL,IPIRANGA,"6,999"
1,BRAGANCA,São Paulo,DIESEL,BRANCA,"6,09"
2,BRAGANCA,São Paulo,DIESEL,BRANCA,"6,296"
3,BRAGANCA,São Paulo,DIESEL,VIBRA ENERGIA,"6,299"
4,BRAGANCA,São Paulo,DIESEL,RAIZEN,"6,33"
5,BRAGANCA,São Paulo,DIESEL,RAIZEN,"6,33"
6,BRAGANCA,São Paulo,DIESEL,RAIZEN,"6,33"
7,BRAGANCA,São Paulo,DIESEL,RAIZEN,"6,59"
1,MOGI MIRIM,São Paulo,DIESEL,TAURUS,"6,07"
2,MOGI MIRIM,São Paulo,DIESEL,IPIRANGA,"6,49"
1,JUNDIAI,São Paulo,DIESEL,BRANCA,"6,299"
2,JUNDIAI,São Paulo,DIESEL,RAIZEN,"6,45"
3,JUNDIAI,São Paulo,DIESEL,IPIRANGA,"6,499"
1,IBITINGA,São Paulo,DIESEL,BRANCA,"6,289"
2,IBITINGA,São Paulo,DIESEL,BRANCA,"6,289"
3,IBITINGA,São Paulo,DIESEL,BRANCA,"6,3"
4,IBITINGA,São Paulo,DIESEL,BRANCA,"6,69"
5,IBITINGA,São Paulo,DIESEL,BRANCA,"6,99"
1,CRUZEIRO,São Paulo,DIESEL,VIBRA ENERGIA,"6,53"
2,CRUZEIRO,São Paulo,DIESEL,IPIRANGA,"6,54"
3,CRUZEIRO,São Paulo,DIESEL,RAIZEN,"6,65"
1,CARAGUATATUBA,São Paulo,DIESEL,IPIRANGA,"6,594"
2,CARAGUATATUBA,São Paulo,DIESEL,IPIRANGA,"6,599"
3,CARAGUATATUBA,São Paulo,DIESEL,VIBRA ENERGIA,"6,699"
4,CARAGUATATUBA,São Paulo,DIESEL,VIBRA ENERGIA,"6,799"
1,MARILIA,São Paulo,DIESEL,RAIZEN,"6,299"
2,MARILIA,São Paulo,DIESEL,IPIRANGA,"6,559"
3,MARILIA,São Paulo,DIESEL,IPIRANGA,"6,649"
4,MARILIA,São Paulo,DIESEL,IPIRANGA,"6,759"
5,MARILIA,São Paulo,DIESEL,RAIZEN,"6,829"
1,CACAPAVA,São Paulo,DIESEL,BRANCA,"5,99"
2,CACAPAVA,São Paulo,DIESEL,VIBRA ENERGIA,"6,19"
3,CACAPAVA,São Paulo,DIESEL,RAIZEN,"6,2"
4,CACAPAVA,São Paulo,DIESEL,VIBRA ENERGIA,"6,78"
1,ITAQUAQUECETUBA,São Paulo,DIESEL,BRANCA,"6,099"
2,ITAQUAQUECETUBA,São Paulo,DIESEL,BRANCA,"6,499"
3,ITAQUAQUECETUBA,São Paulo,DIESEL,IPIRANGA,"6,579"
1,ARARAS,São Paulo,DIESEL,RAIZEN,"5,999"
2,ARARAS,São Paulo,DIESEL,BRANCA,"6,299"
3,ARARAS,São Paulo,DIESEL,BRANCA,"6,299"
4,ARARAS,São Paulo,DIESEL,VIBRA ENERGIA,"6,299"
5,ARARAS,São Paulo,DIESEL,RAIZEN,"6,459"
6,ARARAS,São Paulo,DIESEL,RAIZEN,"6,459"
7,ARARAS,São Paulo,DIESEL,BRANCA,"6,576"
1,MOGI DAS CRUZES,São Paulo,DIESEL,VIBRA ENERGIA,"6,279"
2,MOGI DAS CRUZES,São Paulo,DIESEL,VIBRA ENERGIA,"6,549"
3,MOGI DAS CRUZES,São Paulo,DIESEL,IPIRANGA,"6,59"
1,GARCA,São Paulo,DIESEL,BRANCA,"6,39"
2,GARCA,São Paulo,DIESEL,BRANCA,"6,399"
3,GARCA,São Paulo,DIESEL,VIBRA ENERGIA,"6,64"
4,GARCA,São Paulo,DIESEL,BRANCA,"6,799"
1,ITU,São Paulo,DIESEL,BRANCA,"6,099"
2,ITU,São Paulo,DIESEL,BRANCA,"6,239"
3,ITU,São Paulo,DIESEL,RAIZEN,"6,29"
4,ITU,São Paulo,DIESEL,IPIRANGA,"6,299"
5,ITU,São Paulo,DIESEL,RAIZEN,"6,33"
6,ITU,São Paulo,DIESEL,RAIZEN,"6,39"
7,ITU,São Paulo,DIESEL,IPIRANGA,"6,439"
1,GUARUJA,São Paulo,DIESEL,VIBRA ENERGIA,"6,599"
2,GUARUJA,São Paulo,DIESEL,BRANCA,"6,649"
1,BEBEDOURO,São Paulo,DIESEL,BRANCA,"6,29"
2,BEBEDOURO,São Paulo,DIESEL,BRANCA,"6,35"
3,BEBEDOURO,São Paulo,DIESEL,BRANCA,"6,44"
4,BEBEDOURO,São Paulo,DIESEL,RAIZEN,"6,599"
1,LEME,São Paulo,DIESEL,BRANCA,"6,02"
2,LEME,São Paulo,DIESEL,BRANCA,"6,09"
3,LEME,São Paulo,DIESEL,BRANCA,"6,098"
4,LEME,São Paulo,DIESEL,BRANCA,"6,14"
5,LEME,São Paulo,DIESEL,VIBRA ENERGIA,"6,148"
6,LEME,São Paulo,DIESEL,VIBRA ENERGIA,"6,318"
7,LEME,São Paulo,DIESEL,BRANCA,"6,39"
8,LEME,São Paulo,DIESEL,IPIRANGA,"6,4"
9,LEME,São Paulo,DIESEL,BRANCA,"6,49"
10,LEME,São Paulo,DIESEL,BRANCA,"6,499"
1,GUARULHOS,São Paulo,DIESEL,BRANCA,"6,189"
2,GUARULHOS,São Paulo,DIESEL,BRANCA,"6,199"
3,GUARULHOS,São Paulo,DIESEL,BRANCA,"6,199"
4,GUARULHOS,São Paulo,DIESEL,BRANCA,"6,199"
5,GUARULHOS,São Paulo,DIESEL,IPIRANGA,"6,279"
6,GUARULHOS,São Paulo,DIESEL,RAIZEN,"6,549"
1,BIRIGUI,São Paulo,DIESEL,IPIRANGA,"6,37"
2,BIRIGUI,São Paulo,DIESEL,RAIZEN,"6,6"
3,BIRIGUI,São Paulo,DIESEL,BRANCA,"6,7"
4,BIRIGUI,São Paulo,DIESEL,BRANCA,"6,899"
1,MIRASSOL,São Paulo,DIESEL S10,VIBRA ENERGIA,6499
2,MIRASSOL,São Paulo,DIESEL S10,BRANCA,6499
3,MIRASSOL,São Paulo,DIESEL S10,BRANCA,6499
4,MIRASSOL,São Paulo,DIESEL S10,BRANCA,6559
5,MIRASSOL,São Paulo,DIESEL S10,BRANCA,6590
6,MIRASSOL,São Paulo,DIESEL S10,IPIRANGA,6599
